Dreamcast-Sports-NFL 2K1,9.5
Dreamcast-Sports-NFL 2K2,9
Dreamcast-Sports-NFL QB Club 2001,3
Dreamcast-Sports-NFL Quarterback Club 2000,2
Dreamcast-Sports-NHL 2K2,9.2
Dreamcast-Sports-Razor Freestyle Scooter,6.2
Dreamcast-Sports-Rippin' Riders Snowboarding,7.3
Dreamcast-Sports-Sports Jam,7.1
Dreamcast-Sports-Striker Pro 2000,7
Dreamcast-Sports-Surf Rocket Racer,7.2
Dreamcast-Sports-Sydney 2000,6
Dreamcast-Sports-Tee Off Golf,7.8
Dreamcast-Sports-Tennis 2K2,9.6
Dreamcast-Sports-Tony Hawk's Pro Skater,9.8
Dreamcast-Sports-Tony Hawk's Pro Skater 2,9.9
Dreamcast-Sports-UEFA Striker,7.9
Dreamcast-Sports-Virtua Striker 2,4.1
Dreamcast-Sports-Virtua Striker 2 v2000.1,6.5
Dreamcast-Sports-Virtua Tennis,9.4
Dreamcast-Sports-World Series Baseball 2K1,5.5
Dreamcast-Sports-World Series Baseball 2K2,8.7
Dreamcast-Sports-Xtreme Sports,7
Dreamcast-"Sports, Action"-NFL Blitz 2000,8.3
Dreamcast-"Sports, Action"-NFL Blitz 2001,8
Dreamcast-"Sports, Action"-Ready 2 Rumble Boxing,9.1
Dreamcast-"Sports, Action"-Ready 2 Rumble Boxing: Round 2,7.7
Dreamcast-Strategy-Conflict Zone: Modern War Strategy,5.6
Dreamcast-Strategy-Langrisser Millenium,5.5
Dreamcast-Virtual Pet-Seaman,8.3
Dreamcast-Wrestling-ECW: Hardcore Revolution,6.9
Dreamcast-Wrestling-Fire Pro Wrestling D,8.7
Dreamcast-Wrestling-Giant Gram 2000: All Japan Pro Wrestling 3,8.7
Dreamcast-Wrestling-Giant Gram: All Japan Pro Wrestling 2,8.4
Dreamcast-Wrestling-WWF Attitude,8
Dreamcast-Wrestling-WWF Royal Rumble,5.2
Dreamcast VMU-Sports-VMU Football,3
DVD / HD Video Game-Shooter-Crime Patrol 2: Drug Wars,1
Game Boy-Action-Bomberman GB (Japan),8
Game Boy-Action-James Bond 007 [1998],7
Game Boy-"Action, Adventure"-Metroid II: Return of Samus,9
Game Boy-Compilation-Game &amp; Watch Gallery,8
Game Boy-Pinball-Kirby's Pinball Land,8
Game Boy-Platformer-Wario Land: Super Mario Land 3,7.9
Game Boy-Puzzle-Boggle Plus,6
Game Boy-Puzzle-Mole Mania,8
Game Boy-Racing-F+1 Race,7
Game Boy-RPG-Final Fantasy Adventure,9
Game Boy-RPG-Final Fantasy Legend,6
Game Boy-RPG-Final Fantasy Legend II,8
Game Boy-RPG-Final Fantasy Legend III,7
Game Boy-RPG-Legend of the River King,7
Game Boy-RPG-Pokemon Blue Version,10
Game Boy-RPG-Pokemon Red Version,10
Game Boy-RPG-Pokemon Yellow: Special Pikachu Edition,10
Game Boy-Simulation-Harvest Moon,8
Game Boy-Simulation-Vegas Stakes,7
Game Boy-Sports-Championship Pool,4
Game Boy-Sports-Golf,9
Game Boy-Sports-Tennis,8
Game Boy Advance-Action-A Sound of Thunder,7.5
Game Boy Advance-Action-AirForce Delta Storm,7.1
Game Boy Advance-Action-Altered Beast: Guardian of the Realms,7.5
Game Boy Advance-Action-American Dragon: Jake Long ++ Rise of the Huntsclan,6
Game Boy Advance-Action-Army Men Advance,7
Game Boy Advance-Action-Army Men: Operation Green,6.2
Game Boy Advance-Action-Around the World in 80 Days,3.5
Game Boy Advance-Action-Astro Boy: Omega Factor,8.8
Game Boy Advance-Action-Atari Anniversary Advance,8
Game Boy Advance-Action-Avatar: The Last Airbender,6
Game Boy Advance-Action-Balloon Fight (Famicom Mini Series),6
Game Boy Advance-Action-Balloon Fight+e,7
Game Boy Advance-Action-Barnyard,6
Game Boy Advance-Action-Batman Begins,7
Game Boy Advance-Action-Batman Vengeance,6
Game Boy Advance-Action-Batman: Rise of Sin Tzu,5.5
Game Boy Advance-Action-Battle B+Daman,6
Game Boy Advance-Action-BattleBots: Beyond the BattleBox,5
Game Boy Advance-Action-Bionicle Heroes,8
Game Boy Advance-Action-Blackthorne,7.5
Game Boy Advance-Action-Blades of Thunder,3.5
Game Boy Advance-Action-Blender Bros.,7.8
Game Boy Advance-Action-Bomberman (Classic NES Series),4
Game Boy Advance-Action-Bomberman Max 2: Blue Advance,7.5
Game Boy Advance-Action-Bomberman Max 2: Red Advance,7.5
Game Boy Advance-Action-Bomberman Tournament,8.5
Game Boy Advance-Action-Britney's Dance Beat,5
Game Boy Advance-Action-Bruce Lee: Return of the Legend,8.4
Game Boy Advance-Action-Bubble Bobble: Old and New,7
Game Boy Advance-Action-Buffy the Vampire Slayer: Wrath of the Darkhul King,4
Game Boy Advance-Action-Butt+Ugly Martians: B.K.M. Battles,6
Game Boy Advance-Action-Camp Lazlo: Leaky Lake Games,4
Game Boy Advance-Action-Car Battler Joe,7.7
Game Boy Advance-Action-Castlevania (Classic NES Series),8
Game Boy Advance-Action-Catwoman,6.5
Game Boy Advance-Action-Chicken Little,7.8
Game Boy Advance-Action-Clu Clu Land (Famicom Mini Series),4
Game Boy Advance-Action-Clu Clu Land+e,5
Game Boy Advance-Action-Contra Advance: The Alien Wars EX,7
Game Boy Advance-Action-"Crouching Tiger, Hidden Dragon",6
Game Boy Advance-Action-CT Special Forces,6
Game Boy Advance-Action-CT Special Forces 2: Back in the Trenches,7
Game Boy Advance-Action-Danny Phantom: The Ultimate Enemy,7.5
Game Boy Advance-Action-Daredevil: The Man Without Fear,5
Game Boy Advance-Action-Dark Arena,8
Game Boy Advance-Action-Desert Strike Advance,8
Game Boy Advance-Action-Dexter's Laboratory: Deesaster Strikes,6.5
Game Boy Advance-Action-DK: King of Swing,7.8
Game Boy Advance-Action-Donald Duck Advance,6.5
Game Boy Advance-Action-Donkey Kong (Classic NES Series),6
Game Boy Advance-Action-Donkey Kong+e,8
Game Boy Advance-Action-Double Dragon Advance,7
Game Boy Advance-Action-Dragon Ball Advanced Adventure,7.5
Game Boy Advance-Action-Drill Dozer,8
Game Boy Advance-Action-Dynasty Warriors Advance,4
Game Boy Advance-Action-E.T. The Extra+Terrestrial,3.5
Game Boy Advance-Action-Earthworm Jim,7
Game Boy Advance-Action-ESPN X Games Skateboarding,5.5
Game Boy Advance-Action-Excitebike (Classic NES Series),7
Game Boy Advance-Action-Excitebike+e,8
Game Boy Advance-Action-Final Fight One,8.5
Game Boy Advance-Action-Flushed Away,5
Game Boy Advance-Action-Foster's Home for Imaginary Friends,5.5
Game Boy Advance-Action-Frogger's Adventure 2: The Lost Wand,8
Game Boy Advance-Action-Frogger's Journey: Forgotten Relic,5
Game Boy Advance-Action-Galidor: Defenders of the Outer Dimension,4
Game Boy Advance-Action-Games Explosion!,4
Game Boy Advance-Action-Gauntlet: Dark Legacy,3
Game Boy Advance-Action-Gradius Galaxies,7.5
Game Boy Advance-Action-Grand Theft Auto,8.5
Game Boy Advance-Action-Gunstar Super Heroes,9
Game Boy Advance-Action-Hot Potato,8
Game Boy Advance-Action-Hugo: The Evil Mirror,6.5
Game Boy Advance-Action-Ice Age,4.5
Game Boy Advance-Action-Ice Age 2: The Meltdown,5
Game Boy Advance-Action-Ice Climber (Classic NES Series),7
Game Boy Advance-Action-Ice Climber+e,7
Game Boy Advance-Action-Jackie Chan Adventures: Legend of the Dark Hand,7
Game Boy Advance-Action-James Bond 007: Everything or Nothing,8
Game Boy Advance-Action-Jazz Jackrabbit,6.5
Game Boy Advance-Action-Jet Grind Radio,8.5
Game Boy Advance-Action-Jurassic Park III: The DNA Factor,5
Game Boy Advance-Action-Justice League Chronicles,4
Game Boy Advance-Action-Justice League Heroes: The Flash,8
